name,team,age,year
Blake Dunn,WMU,22.0,2021
Ryan Bliss,AUB,21.0,2021
Adrian Del Castillo,MIA,21.0,2021
Tim Tawa,STAN,22.0,2021
Billy Cook,PEPP,22.0,2021
Trey Sweeney,EIU,21.0,2021
Colton Cowser,SHSU,21.0,2021
Connor Norby,ECU,21.0,2021
Justyn-Henry Malloy,GT,21.0,2021
Chad Stevens,PORT,22.0,2021
Henry Davis,LOU,21.0,2021
Sal Frelick,BC,21.0,2021
Joey Loperfido,DUKE,22.0,2021
Will Wagner,LIB,22.0,2021
Matt McLain,UCLA,21.0,2021
Braxton Fulford,TTU,22.0,2021
Hunter Goodman,MEM,21.0,2021
Zack Gelof,UVA,21.0,2021
Niko Kavadas,ND,22.0,2021
Brett Harris,GONZ,23.0,2021
Kyle Manzardo,WSU,20.0,2021
Jack Winkler,SF,22.0,2021
Liam Hicks,ARST,22.0,2021
Denzel Clarke,CSUN,21.0,2021
Darren Baker,CAL,22.0,2021
Jacob Young,FLA,21.0,2021
Tyler Black,WRST,20.0,2021
Christian Encarnacion-Strand,OKST,21.0,2021
Bob Seymour,WAKE,22.0,2021
Tristan Peters,SIU,21.0,2021
Zach Neto,CAM,20.0,2021
Victor Scott II,WVU,20.0,2021
Graham Pauley,DUKE,20.0,2021
Jakob Marsee,CMU,20.0,2021
Dalton Rushing,LOU,20.0,2021
Brooks Baldwin,UNCW,20.0,2021
Tyler Locklear,VCU,20.0,2021
Jordan Beck,TENN,20.0,2021
Jace Jung,TTU,20.0,2021
Wade Meckler,ORST,21.0,2021
Ryan Ritter,UK,20.0,2021
Tim Elko,MISS,22.0,2021
Drake Baldwin,MOST,20.0,2021
Drew Gilbert,TENN,20.0,2021
Zach Agnos,ECU,20.0,2021
Zach Dezenzo,OSU,21.0,2021
Alan Roden,CREI,21.0,2021
Trey Lipscomb,TENN,21.0,2021
Chase Meidroth,USD,19.0,2021
Brooks Lee,CP,20.0,2021
Jacob Melton,ORST,20.0,2021
Alex Freeland,UCF,19.0,2021
Rhylan Thomas,USC,21.0,2021
Spencer Schwellenbach,NEB,21.0,2021
Colby Thomas,MER,20.0,2021
Chandler Simpson,UAB,20.0,2021
Drew Thorpe,CP,20.0,2021
Nolan Schanuel,FAU,19.0,2021
Ben Williamson,W&M,20.0,2021
Kyle Karros,UCLA,18.0,2021
Jacob Wilson,GCU,19.0,2021
Brice Matthews,NEB,19.0,2021
Seth Halvorsen,MIZ,21.0,2021
Luke Keaschall,SF,18.0,2021
Matt Shaw,MD,19.0,2021
Wyatt Langford,FLA,19.0,2021
Dylan Crews,LSU,19.0,2021
Kyle Teel,UVA,19.0,2021
Paul Skenes,AFA,19.0,2021
C.J. Kayfus,MIA,19.0,2021
Mike Rothenberg,DUKE,22.0,2021
Spencer Packard,CAM,23.0,2021
Colin Davis,WOF,22.0,2021
Marcos Castañon,UCSB,22.0,2021
Max Ferguson,TENN,21.0,2021
Lucas Dunn,LOU,22.0,2021
Colton Bender,QUIN,22.0,2021
Tanner Allen,MSST,23.0,2021
Charlie Welch,ARK,21.0,2021
James Parker,CLEM,21.0,2021
Cole Barr,IU,23.0,2021
Zach Zubia,TEX,23.0,2021
Tyler McDonough,NCSU,22.0,2021
Mack Chambers,UNM,21.0,2021
Mike Antico,TEX,23.0,2021
Ben Ramirez,USC,22.0,2021
Channy Ortiz,GCU,22.0,2021
Andy Thomas,BAY,23.0,2021
Shane Muntz,WAKE,22.0,2021
Tyler Hardman,OU,22.0,2021
Chris Meyers,TOL,22.0,2021
Austin Schultz,UK,21.0,2021
Caleb Roberts,UNC,21.0,2021
Tyler Tolve,KENN,20.0,2021
Corey Rosier,UNCG,21.0,2021
Jacen Roberson,CSUB,21.0,2021
Grant Richardson,IU,21.0,2021
Cooper Bowman,LOU,21.0,2021
Austin Murr,NCSU,22.0,2021
Justice Bigbie,WCU,22.0,2021
Ben Malgeri,NE,21.0,2021
Ben Cowles,MD,21.0,2021
Aaron McKeithan,CLT,21.0,2021
Ryan Holgate,ARIZ,21.0,2021
Thomas Francisco,ECU,22.0,2021
Jack Rogers,SHSU,22.0,2021
Adam Hackenberg,CLEM,21.0,2021
Michael Trautwein,NU,21.0,2021
Alex Binelas,LOU,21.0,2021
Wes Clarke,SC,21.0,2021
Zack Raabe,MINN,21.0,2021
Michael Sandle,USA,22.0,2021
Ethan Murray,DUKE,21.0,2021
Kobe Kato,ARIZ,22.0,2021
Ruben Ibarra,SJSU,22.0,2021
Christian Robinson,STAN,21.0,2021
Luke Waddell,GT,22.0,2021
Justin Williams,PSU,21.0,2021
Drake Osborn,UL,22.0,2021
Riley Tirotta,DAY,22.0,2021
Cal Conley,TTU,21.0,2021
Wyatt Young,PEPP,21.0,2021
Justin Guerrera,FAIR,21.0,2021
Cam Williams,TEX,23.0,2021
Tyler Miller,AUB,21.0,2021
Peyton Wilson,ALA,21.0,2021
Parker Bates,LT,23.0,2021
Phillip Sikes,TCU,22.0,2021
Shawn Goosenberg,NU,21.0,2021
River Town,DBU,21.0,2021
Bennett Hostetler,NDSU,23.0,2021
Sam Praytor,ALA,22.0,2021
Donta' Williams,ARIZ,22.0,2021
Robby Martin Jr.,FSU,21.0,2021
Connor Pavolony,TENN,21.0,2021
EJ Andrews Jr.,FRES,20.0,2021
Cody Morissette,BC,21.0,2021
Nic Kent,UVA,21.0,2021
Ben Sems,MICH,23.0,2021
John Rhodes,UK,20.0,2021
Wyatt Hendrie,SDSU,22.0,2021
Zach Kokoska,KSU,22.0,2021
Garrett Spain,APSU,20.0,2021
Collin Burns,TULN,21.0,2021
Damon Keith,CBU,21.0,2021
Reed Trimble,USM,21.0,2021
Jason Ruffcorn,OU,22.0,2021
Kevin Kendall,UCLA,22.0,2021
Rowdey Jordan,MSST,22.0,2021
Quincy Hamilton,WRST,23.0,2021
Ryan Higgins,FRES,21.0,2021
Drew Swift,ASU,22.0,2021
CJ Rodriguez,VAN,20.0,2021
Shane McGuire,USD,22.0,2021
BJ Murray Jr.,FAU,21.0,2021
Jared Dupere,NE,22.0,2021
Liam Spence,TENN,23.0,2021
Peter Matt,DUKE,23.0,2021
Jonny Butler,NCSU,22.0,2021
Elijah Cabell,FSU,22.0,2021
Mat Nelson,FSU,22.0,2021
Ethan Wilson,USA,21.0,2021
T.J. Rumfield,VT,21.0,2021
Dru Baker,TTU,21.0,2021
Braiden Ward,WASH,22.0,2021
Luke Brown,LOU,22.0,2021
Matt Rudick,SDSU,22.0,2021
Terrell Tatum,NCSU,21.0,2021
Josh Crouch,UCF,22.0,2021
JT Schwartz,UCLA,21.0,2021
Luca Tresh,NCSU,21.0,2021
Justice Thompson,UNC,20.0,2021
Jose Torres,NCSU,21.0,2021
Nathan Hickey,FLA,21.0,2021
Mariano Ricciardi,DAY,23.0,2021
Mike Jarvis,SDSU,23.0,2021
Jack-Thomas Wold,UNLV,21.0,2021
Jayson Gonzalez,VAN,22.0,2021
Jackson Glenn,DBU,23.0,2021
Casey Opitz,ARK,22.0,2021
Christian Franklin,ARK,21.0,2021
Alex Pham,SF,21.0,2021
Steven Williams,AUB,22.0,2021
Will Frizzell,TA&M,22.0,2021
Patrick Winkel,CONN,21.0,2021
Jaden Fein,SDSU,20.0,2021
Branden Boissiere,ARIZ,21.0,2021
Kyler Fedko,CONN,21.0,2021
Noah Cardenas,UCLA,21.0,2021
Liam McGill,BRY,23.0,2021
Anthony Vilar,MIA,22.0,2021
Logan Cerny,TROY,21.0,2021
Aaron Zavala,ORE,21.0,2021
Connor Kokx,LBSU,21.0,2021
Trenton Wallace,IOWA,22.0,2021
Jake Rucker,TENN,21.0,2021
Zac Leigh,TXST,23.0,2021
Mikey Perez,UCLA,21.0,2021
Ernie Yake,GONZ,23.0,2021
Dillon Tatum,UCI,21.0,2021
Parker Chavers,CCU,22.0,2021
Brady Allen,SC,21.0,2021
Davis Sharpe,CLEM,21.0,2021
Dylan Neuse,TTU,22.0,2021
Hogan Windish,UNCG,22.0,2021
Torin Montgomery,MIZ,20.0,2021
David Martin,CBU,20.0,2021
Jacob Berry,ARIZ,20.0,2021
Michael Curialle,UCLA,20.0,2021
Brody Moore,AUB,20.0,2021
Jimmy Crooks,OU,19.0,2021
Nathan Church,UCI,20.0,2021
Joe Stewart,MSU,23.0,2021
Luke Franzoni,XAV,21.0,2021
Tucker Flint,MD,20.0,2021
Ivan Melendez,TEX,21.0,2021
Chris Rotondo,VILL,22.0,2021
Dylan Phillips,KSU,22.0,2021
Chase Luttrell,LBSU,21.0,2021
Sonny DiChiara,SAM,21.0,2021
Alex Iadisernia,ELON,20.0,2021
Brett Johnson,SIUE,21.0,2021
Kyle Crigger,LT,22.0,2021
Levi Usher,LOU,21.0,2021
Cory Acton,FLA,22.0,2021
Nick Biddison,VT,20.0,2021
Hayden Dunhurst,MISS,20.0,2021
Sean McLain,ASU,20.0,2021
Keshawn Ogans,CAL,19.0,2021
Kyle Nevin,BAY,19.0,2021
Casey Dana,HALL,22.0,2021
E.J. Exposito,LIU,20.0,2021
Bubba Alleyne,MD,22.0,2021
Justin Janas,ILL,20.0,2021
Javier Vaz,VAN,20.0,2021
Taylor Young,LT,22.0,2021
Andrew Keck,SEMO,21.0,2021
Chad Castillo,CBU,21.0,2021
Caleb Ricketts,USD,21.0,2021
Cade Fergus,GW,20.0,2021
Troy Schreffler Jr.,MD,20.0,2021
Jack Brannigan,ND,20.0,2021
Eric Brown Jr.,CCU,20.0,2021
Matthew Wood,PSU,20.0,2021
Jordan Sprinkle,UCSB,20.0,2021
Brett Roberts,TNTC,20.0,2021
Ben Metzinger,LOU,22.0,2021
Robert Moore,ARK,19.0,2021
Jackson Loftin,SHSU,21.0,2021
Jacob Burke,SELA,20.0,2021
Collin Price,MER,21.0,2021
Zach Cole,BALL,20.0,2021
Jud Fabian,FLA,20.0,2021
Adam Crampton,STAN,20.0,2021
Adam Retzbach,LEH,20.0,2021
Skyler Messinger,KU,22.0,2021
David McCabe,CLT,21.0,2021
Bill Knight,MER,21.0,2021
Brendan Tinsman,WAKE,21.0,2021
Danny Serretti,UNC,21.0,2021
Zach Morgan,FRES,21.0,2021
Spencer Jones,VAN,20.0,2021
Chris Newell,UVA,20.0,2021
Clark Elliott,MICH,20.0,2021
Brennan Milone,SC,20.0,2021
Brett Barrera,STAN,20.0,2021
Silas Ardoin,TEX,20.0,2021
Tayler Aguilar,GCU,20.0,2021
Nathan Martorella,CAL,20.0,2021
Andrew Jenkins,GT,20.0,2021
Kody Huff,STAN,20.0,2021
Dylan Beavers,CAL,19.0,2021
Nick Vogt,UCSB,20.0,2021
Gavin Cross,VT,20.0,2021
Luke Gold,BC,20.0,2021
Anthony Hall,ORE,20.0,2021
Carmine Lane,USF,20.0,2021
Peyton Graham,OU,20.0,2021
Caeden Trenkle,OKST,20.0,2021
Cayden Wallace,ARK,19.0,2021
Daniel Susac,ARIZ,20.0,2021
Jose Izarra,MIA,19.0,2021
Sterlin Thompson,FLA,20.0,2021
Griffin Doersching,NKU,22.0,2021
Tanner Schobel,VT,20.0,2021
Tyler Robertson,UL,21.0,2021
Dylan Rock,UTSA,22.0,2021
Kevin Graham,MISS,21.0,2021
Gustavo Sosa,RUTG,19.0,2021
